time,symbol,open,high,low,close,volume_from,volume_to
2020-08-16 00:00:00,LTC,59.92,64.56,58.41,63.92,727932.61,44941848.45
2020-08-17 00:00:00,LTC,63.92,68.96,61.49,67.29,1159068.54,75986629.52
2020-08-18 00:00:00,LTC,67.29,68.45,63.69,65.51,927086.31,61569942.24
2020-08-19 00:00:00,LTC,65.51,67.12,58.88,62.11,802707.22,50099948.39
2020-08-20 00:00:00,LTC,62.11,63.66,61.08,62.82,778795.64,48796344.62
2020-08-21 00:00:00,LTC,62.82,63.83,58.82,59.16,976042.15,59943035.43
2020-08-22 00:00:00,LTC,59.16,60.5,57.8,60.25,801960.58,47596625.26
2020-08-23 00:00:00,LTC,60.25,61.59,58.06,60.55,626203.02,37337741.41
2020-08-24 00:00:00,LTC,60.55,63,60.01,62.11,734103.15,45442241.68
2020-08-25 00:00:00,LTC,62.11,62.27,56.72,58.44,557908.43,33350143.27
2020-08-26 00:00:00,LTC,58.39,59.09,57.88,58.15,806259.57,46882864.58
2020-08-27 00:00:00,LTC,58.15,58.01,55.05,56.11,1005665.97,56429135.48
2020-08-28 00:00:00,LTC,56.11,58.39,56.58,57.42,953119.3,54730278.91
2020-08-29 00:00:00,LTC,57.42,57.92,56.98,57.15,556475.68,31802490.2
2020-08-30 00:00:00,LTC,57.01,62.93,56.97,62.9,546969.19,33132065.65
2020-08-31 00:00:00,LTC,62.91,63.29,60.5,60.99,1029436.75,62789117.1
2020-09-01 00:00:00,LTC,60.99,63.84,61.74,62.73,1119590.88,70236850.23
2020-09-02 00:00:00,LTC,62.73,60.58,57.64,58.1,943453.06,54809996.38
2020-09-03 00:00:00,LTC,58.1,58.65,45.81,48.37,830270.75,44703604.43
2020-09-04 00:00:00,LTC,48.37,52.35,47.01,50.48,500849.82,24842387.04
2020-09-05 00:00:00,LTC,50.48,51.3,45.46,47.77,632360.78,30550877.38
2020-09-06 00:00:00,LTC,47.8,49.05,47.41,47.95,716360.62,34347134.19
2020-09-07 00:00:00,LTC,47.95,49.56,47.43,48.85,902712.61,44101419.35
2020-09-08 00:00:00,LTC,48.85,48.32,46.99,47.45,889953.07,42230239.88
2020-09-09 00:00:00,LTC,47.45,48.38,47.68,47.86,903340.42,43234585.37
2020-09-10 00:00:00,LTC,47.86,49.26,48.28,48.7,831116.52,40472977.38
2020-09-11 00:00:00,LTC,48.7,49.57,48.32,49.02,838122.26,41083520.31
2020-09-12 00:00:00,LTC,49.02,51.15,49.11,50.85,1122236.78,57066207.11
2020-09-13 00:00:00,LTC,50.85,50.36,47.76,48.15,842901.9,40584712.98
2020-09-14 00:00:00,LTC,48.15,49.77,48.62,49.12,1094257.94,53750197.32
2020-09-15 00:00:00,LTC,49.12,50.2,48.26,48.31,948296.17,45815629.62
2020-09-16 00:00:00,LTC,48.31,49.08,47.73,47.76,927782.36,44312740.06
2020-09-17 00:00:00,LTC,47.76,49.38,47.7,48.88,686026.67,33533666.39
2020-09-18 00:00:00,LTC,48.88,48.97,48.07,48.54,959780.02,46589983.24
2020-09-19 00:00:00,LTC,48.54,49.2,48.42,48.52,767736.82,37253695.68
2020-09-20 00:00:00,LTC,48.52,48.13,46.75,47.1,695431.96,32751380.12
2020-09-21 00:00:00,LTC,47.1,45.21,42.42,43.14,878971.17,37920150.32
2020-09-22 00:00:00,LTC,43.14,44.7,43.48,44.5,626959.59,27898886.41
2020-09-23 00:00:00,LTC,44.5,43.93,42.77,42.96,500458.22,21499197.5
2020-09-24 00:00:00,LTC,42.96,45.81,44.84,44.97,452228.73,20336777.67
2020-09-25 00:00:00,LTC,44.97,46.65,44.34,46.03,571976.96,26326665.23
2020-09-26 00:00:00,LTC,46.03,46.52,45.47,46.03,360970.03,16614865.07
2020-09-27 00:00:00,LTC,46.03,46.57,45.39,46.09,418695.12,19297986.44
2020-09-28 00:00:00,LTC,46.09,46.1,45.02,45.25,586187.17,26522666.31
2020-09-29 00:00:00,LTC,45.25,46.3,45.59,45.7,609257.1,27840635.2
2020-09-30 00:00:00,LTC,45.7,46.62,45.33,46.27,753708.07,34870507.84
2020-10-01 00:00:00,LTC,46.27,47.39,45.48,46.27,876707.46,40567773.17
2020-10-02 00:00:00,LTC,46.27,46.6,44.41,44.94,827700.78,37196991.71
2020-10-03 00:00:00,LTC,44.94,45.88,44.8,45.56,628545.32,28638855.88
2020-10-04 00:00:00,LTC,45.56,46.96,45.93,46.72,837501.56,39124786.13
2020-10-05 00:00:00,LTC,46.72,47.34,46.03,46.35,718672.45,33313488.16
2020-10-06 00:00:00,LTC,46.35,47.59,45.4,46,942754.34,43366433.97
2020-10-07 00:00:00,LTC,46,46.93,45.57,46.6,738015,34389194.34
2020-10-08 00:00:00,LTC,46.6,47.79,47.11,47.24,745992.54,35238350.25
2020-10-09 00:00:00,LTC,47.24,48.04,47.48,47.8,806212.29,38533760.63
2020-10-10 00:00:00,LTC,47.8,49.86,48.36,48.89,696485.9,34051607.85
2020-10-11 00:00:00,LTC,48.89,51.06,49.11,50.53,702034.11,35473794.4
2020-10-12 00:00:00,LTC,50.53,51.56,50.45,50.62,742899.06,37609210.77
2020-10-13 00:00:00,LTC,50.62,50.2,49.34,49.95,555618,27752388.23
2020-10-14 00:00:00,LTC,49.95,50.8,49.64,49.84,530513.61,26442483.92
2020-10-15 00:00:00,LTC,49.84,50.73,49.35,49.57,537801.07,26656804.43
2020-10-16 00:00:00,LTC,49.57,48.99,46.17,47.64,730902.51,34818885.43
2020-10-17 00:00:00,LTC,47.64,47.82,46.7,46.96,481466.06,22609531.66
2020-10-18 00:00:00,LTC,46.96,48,47.49,47.58,329030.35,15656775.25
2020-10-19 00:00:00,LTC,47.58,48.6,48,48.03,465002.26,22332596.02
2020-10-20 00:00:00,LTC,48.03,49.07,46.46,46.92,514687.91,24151280.38
2020-10-21 00:00:00,LTC,46.93,55.08,46.91,53.14,926503.81,47677510.5
2020-10-22 00:00:00,LTC,53.1,57.16,53.83,54.46,1591845.18,86684133.03
2020-10-23 00:00:00,LTC,54.46,56.65,53.52,55.45,1146900.93,63594325.25
2020-10-24 00:00:00,LTC,55.45,59.84,55.89,59.28,1272903,75454638.79
2020-10-25 00:00:00,LTC,59.28,60.13,57,58.87,1142203.83,67239280.12
2020-10-26 00:00:00,LTC,58.87,59.22,56.2,56.88,1090529.76,62027325.48
